States,Regions,latitude,longitude,Dates,Usage,Situation,Season
J&K,NR,33.45,76.24,2019-12-18,46.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-18,3.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-19,131.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-19,136.8,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-19,248.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-19,66.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-19,273.9,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-19,37.2,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-19,27.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-19,48.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-19,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-20,132.6,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-20,136.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-20,249.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-20,62.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-20,278.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-20,36.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-20,26.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-20,48.1,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-20,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-21,126.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-21,129.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-21,245.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-21,61.1,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-21,286.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-21,34.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-21,25.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-21,48.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-21,3.2,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-22,110.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-22,118.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-22,222.6,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-22,62.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-22,244.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-22,34.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-22,29.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-22,46.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-22,3.6,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-23,114.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-23,122.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-23,228.8,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-23,62.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-23,249.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-23,36.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-23,29.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-23,47.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-23,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-24,110.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-24,121.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-24,229.9,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-24,65.4,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-24,253.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-24,36.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-24,30.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-24,46.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-24,3.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-25,97.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-25,111.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-25,211.8,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-25,64.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-25,239.8,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-25,36.5,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-25,31.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-25,45.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-25,4.1,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-26,94.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-26,95.7,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-26,202.2,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-26,66.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-26,186.8,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-26,29.5,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-26,29.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-26,38.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-26,4.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-27,103.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-27,110.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-27,211.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-27,63.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-27,229.9,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-27,33.4,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-27,29.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-27,44.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-27,3.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-28,97.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-28,101.7,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-28,212.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-28,62.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-28,234.2,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-28,32.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-28,27.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-28,47.7,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-28,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-29,237.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-29,214.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-29,232.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-29,128.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-29,421.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-29,42.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-29,29.9,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-29,40.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-29,6.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-30,251.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-30,220.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-30,246.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-30,126.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-30,437.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-30,43.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-30,31.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-30,42.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-30,6.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-31,255.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-31,223.2,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-31,253.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-31,134.9,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-31,424.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-31,44.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-31,31.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-31,42.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-31,6.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-01-01,264.6,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-01-01,222.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-01-01,253.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-01-01,137.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-01-01,426.5,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-01-01,42.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-01-01,31.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-01-01,44.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-01-01,6.7,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-02-01,259.7,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-02-01,224.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-02-01,247.4,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-02-01,132.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-02-01,393.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-02-01,42.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-02-01,30.6,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-02-01,41.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-02-01,6.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-03-01,259.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2020-03-01,218.5,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2020-03-01,243.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2020-03-01,125.3,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2020-03-01,390.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2020-03-01,41.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2020-03-01,31.0,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2020-03-01,42.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2020-03-01,6.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2020-04-01,248.8,Covid-Lockdown,SPRING
Haryana,NR,28.45000633,77.01999101,2020-04-01,200.9,Covid-Lockdown,SPRING
Rajasthan,NR,26.44999921,74.63998124,2020-04-01,237.1,Covid-Lockdown,SPRING
